scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s,noise_tier
normal_noise_high,3,3,sequential,12,800,0.1,800,154,44,110,54,0,62,31,31,24,7,0,0.5,0.5,0.0675,0.055,0.0,5.354838709677419,5.0,17,17,,False,12,1.0,11,0.00024387478333665055,0.535483870967742,1.7000000000000002,,high
normal_noise_high,3,3,random,12,800,0.1,800,142,39,103,48,187,62,21,41,38,3,0,0.3387096774193548,0.6612903225806451,0.06,0.04875,0.23375,4.285714285714286,4.0,14,3,,False,12,1.0,31,0.0018538747099228203,0.4285714285714286,0.30000000000000004,,high
normal_noise_high,3,3,heuristic,12,800,0.1,800,303,228,75,271,162,62,19,43,42,1,0,0.3064516129032258,0.6935483870967742,0.33875,0.285,0.2025,1.894736842105263,0.0,12,3,,False,12,1.0,12,0.005006124411011115,0.18947368421052632,0.30000000000000004,,high
normal_noise_high,3,3,adaptive,12,800,0.1,800,288,216,72,256,77,62,29,33,32,1,0,0.46774193548387094,0.532258064516129,0.32,0.27,0.09625,3.9655172413793105,3.0,16,25,,False,12,1.0,11,1.1431952504790388,0.39655172413793105,2.5,,high
normal_noise_high,4,4,sequential,12,800,0.1,800,148,48,100,63,0,62,29,33,25,8,0,0.46774193548387094,0.532258064516129,0.07875,0.06,0.0,5.551724137931035,5.0,17,5,,False,12,1.0,11,0.00024437529646093026,0.5551724137931034,0.5,,high
normal_noise_high,4,4,random,12,800,0.1,800,147,40,107,49,184,62,23,39,34,5,1,0.3709677419354839,0.6290322580645161,0.06125,0.05,0.23,8.478260869565217,8.0,29,8,,False,12,1.0,26,0.0018742496831691824,0.8478260869565217,0.8,,high
normal_noise_high,4,4,heuristic,12,800,0.1,800,241,147,94,173,192,62,22,40,37,3,1,0.3548387096774194,0.6451612903225806,0.21625,0.18375,0.24,0.4090909090909091,0.0,2,3,,False,12,1.0,11,0.0049284993292531,0.040909090909090916,0.30000000000000004,,high
normal_noise_high,4,4,adaptive,12,800,0.1,800,341,278,63,336,79,62,27,35,33,2,0,0.43548387096774194,0.5645161290322581,0.42,0.3475,0.09875,3.888888888888889,2.0,14,5,,False,12,1.0,11,1.1272652505431324,0.3888888888888889,0.5,,high
normal_noise_high,5,5,sequential,12,800,0.1,800,135,45,90,52,0,57,28,29,26,3,1,0.49122807017543857,0.5087719298245614,0.065,0.05625,0.0,5.107142857142857,4.0,17,5,,False,12,1.0,11,0.00024424996809102595,0.5107142857142857,0.5,,high
normal_noise_high,5,5,random,12,800,0.1,800,141,29,112,41,179,57,17,40,37,3,0,0.2982456140350877,0.7017543859649122,0.05125,0.03625,0.22375,7.176470588235294,5.0,24,4,,False,12,1.0,29,0.001802749939088244,0.7176470588235295,0.4,,high
normal_noise_high,5,5,heuristic,12,800,0.1,800,114,27,87,32,303,57,3,54,52,2,1,0.05263157894736842,0.9473684210526315,0.04,0.03375,0.37875,36.666666666666664,27.0,75,8,,False,12,1.0,14,0.004749499676108826,3.6666666666666665,0.8,,high
