scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s
normal,5,5,heuristic,12,800,0.1,800,222,210,12,212,384,57,22,35,34,1,1,0.38596491228070173,0.6140350877192983,0.265,0.2625,0.48,5.136363636363637,0.0,75.0,8.0,,False,12,1.0,14,0.026392125437268987,0.5136363636363637,0.8,
normal,5,5,adaptive,12,800,0.1,800,307,298,9,303,95,57,31,26,26,0,0,0.543859649122807,0.45614035087719296,0.37875,0.3725,0.11875,3.6774193548387095,3.0,13.0,5.0,,False,12,1.0,11,5.732076625354239,0.36774193548387096,0.5,
normal,6,6,sequential,12,800,0.1,800,76,66,10,68,0,69,36,33,32,1,0,0.5217391304347826,0.4782608695652174,0.085,0.0825,0.0,4.527777777777778,5.0,11.0,2.0,,False,12,1.0,11,0.0014297495363280177,0.4527777777777778,0.2,
normal,6,6,random,12,800,0.1,800,80,61,19,62,250,69,29,40,40,0,1,0.42028985507246375,0.5797101449275363,0.0775,0.07625,0.3125,4.758620689655173,1.0,36.0,0.0,,False,12,1.0,22,0.014505500148516148,0.4758620689655173,0.0,
normal,6,6,heuristic,12,800,0.1,800,404,393,11,403,223,69,22,47,47,0,0,0.3188405797101449,0.6811594202898551,0.50375,0.49125,0.27875,1.3181818181818181,0.0,15.0,2.0,,False,12,1.0,12,0.02684725033759605,0.1318181818181818,0.2,
normal,6,6,adaptive,12,800,0.1,800,374,361,13,372,86,69,33,36,36,0,0,0.4782608695652174,0.5217391304347826,0.465,0.45125,0.1075,2.3636363636363638,2.0,13.0,2.0,,False,12,1.0,11,5.637639249835047,0.2363636363636364,0.2,
normal,7,7,sequential,12,800,0.1,800,77,62,15,64,0,58,36,22,22,0,0,0.6206896551724138,0.3793103448275862,0.08,0.0775,0.0,4.166666666666667,4.0,16.0,2.0,,False,12,1.0,11,0.0015255001562763937,0.41666666666666674,0.2,
normal,7,7,random,12,800,0.1,800,76,58,18,60,251,58,26,32,32,0,0,0.4482758620689655,0.5517241379310345,0.075,0.0725,0.31375,5.538461538461538,4.0,24.0,7.0,,False,12,1.0,22,0.017930249305209145,0.5538461538461539,0.7000000000000001,
normal,7,7,heuristic,12,800,0.1,800,227,213,14,229,373,58,26,32,32,0,0,0.4482758620689655,0.5517241379310345,0.28625,0.26625,0.46625,4.6923076923076925,0.0,42.0,2.0,,False,12,1.0,12,0.027117499412270263,0.4692307692307693,0.2,
normal,7,7,adaptive,12,800,0.1,800,338,330,8,346,91,58,28,30,30,0,0,0.4827586206896552,0.5172413793103449,0.4325,0.4125,0.11375,2.0357142857142856,1.0,11.0,2.0,,False,12,1.0,11,5.619141000534,0.20357142857142857,0.2,
normal,8,8,sequential,12,800,0.1,800,87,61,26,62,0,65,38,27,27,0,0,0.5846153846153846,0.4153846153846154,0.0775,0.07625,0.0,5.2105263157894735,5.0,14.0,2.0,,False,12,1.0,11,0.0013626247891806997,0.5210526315789473,0.2,
normal,8,8,random,12,800,0.1,800,71,52,19,53,258,65,29,36,36,0,0,0.4461538461538462,0.5538461538461539,0.06625,0.065,0.3225,7.517241379310345,5.0,28.0,2.0,,False,12,1.0,17,0.014951500234019477,0.7517241379310345,0.2,
normal,8,8,heuristic,12,800,0.1,800,375,365,10,376,227,65,28,37,37,0,0,0.4307692307692308,0.5692307692307692,0.47,0.45625,0.28375,1.75,0.0,16.0,2.0,,False,12,1.0,11,0.027705249849532265,0.17500000000000002,0.2,
normal,8,8,adaptive,12,800,0.1,800,360,354,6,363,96,65,34,31,31,0,0,0.5230769230769231,0.47692307692307695,0.45375,0.4425,0.12,2.2941176470588234,2.0,10.0,2.0,,False,12,1.0,11,5.481252499776019,0.22941176470588234,0.2,
normal,9,9,sequential,12,800,0.1,800,75,57,18,58,0,62,33,29,28,1,1,0.532258064516129,0.46774193548387094,0.0725,0.07125,0.0,4.212121212121212,5.0,11.0,17.0,,False,12,1.0,11,0.0015853753211558796,0.4212121212121212,1.7000000000000002,
normal,9,9,random,12,800,0.1,800,79,59,20,63,260,62,27,35,34,1,1,0.43548387096774194,0.5645161290322581,0.07875,0.07375,0.325,5.296296296296297,5.0,21.0,0.0,,False,12,1.0,46,0.014814124733675271,0.5296296296296297,0.0,
normal,9,9,heuristic,12,800,0.1,800,357,341,16,350,272,62,16,46,45,1,0,0.25806451612903225,0.7419354838709677,0.4375,0.42625,0.34,0.4375,0.0,6.0,10.0,,False,12,1.0,13,0.027384624918340705,0.043750000000000004,1.0,
normal,9,9,adaptive,12,800,0.1,800,337,329,8,339,102,62,30,32,31,1,0,0.4838709677419355,0.5161290322580645,0.42375,0.41125,0.1275,3.066666666666667,1.0,17.0,12.0,,False,12,1.0,11,5.563046749848581,0.3066666666666667,1.2000000000000002,
normal,10,10,sequential,12,800,0.1,800,71,54,17,58,0,51,29,22,21,1,0,0.5686274509803921,0.43137254901960786,0.0725,0.0675,0.0,3.689655172413793,4.0,17.0,2.0,,False,12,1.0,11,0.0014221249875845388,0.3689655172413793,0.2,
normal,10,10,random,12,800,0.1,800,73,55,18,57,237,51,26,25,23,2,0,0.5098039215686274,0.49019607843137253,0.07125,0.06875,0.29625,4.0,2.0,19.0,3.0,,False,12,1.0,44,0.014957499624870252,0.4,0.30000000000000004,
normal,10,10,heuristic,12,800,0.1,800,299,286,13,295,320,51,17,34,34,0,0,0.3333333333333333,0.6666666666666666,0.36875,0.3575,0.4,1.2352941176470589,0.0,8.0,2.0,,False,12,1.0,11,0.02818674958689371,0.12352941176470589,0.2,
normal,10,10,adaptive,12,800,0.1,800,340,323,17,329,102,51,26,25,25,0,0,0.5098039215686274,0.49019607843137253,0.41125,0.40375,0.1275,2.6538461538461537,1.5,11.0,2.0,,False,12,1.0,11,5.822562498397019,0.2653846153846154,0.2,
normal,11,11,sequential,12,800,0.1,800,75,56,19,56,0,64,36,28,28,0,0,0.5625,0.4375,0.07,0.07,0.0,3.5833333333333335,4.0,9.0,2.0,,False,12,1.0,11,0.0015652506772312336,0.3583333333333334,0.2,
normal,11,11,random,12,800,0.1,800,60,48,12,48,256,64,27,37,37,0,0,0.421875,0.578125,0.06,0.06,0.32,4.555555555555555,2.0,20.0,3.0,,False,12,1.0,32,0.017386999606969766,0.45555555555555555,0.30000000000000004,
normal,11,11,heuristic,12,800,0.1,800,205,194,11,200,387,64,30,34,34,0,0,0.46875,0.53125,0.25,0.2425,0.48375,1.3333333333333333,0.0,21.0,2.0,,False,12,1.0,12,0.034694375390245114,0.13333333333333333,0.2,
normal,11,11,adaptive,12,800,0.1,800,286,275,11,282,95,64,35,29,29,0,0,0.546875,0.453125,0.3525,0.34375,0.11875,3.257142857142857,3.0,16.0,2.0,,False,12,1.0,11,6.368234374276653,0.32571428571428573,0.2,
normal,12,12,sequential,12,800,0.1,800,74,58,16,63,0,57,35,22,20,2,0,0.6140350877192983,0.38596491228070173,0.07875,0.0725,0.0,4.085714285714285,4.0,11.0,5.0,,False,12,1.0,11,0.001713624551484827,0.4085714285714286,0.5,
normal,12,12,random,12,800,0.1,800,71,53,18,54,239,57,26,31,31,0,0,0.45614035087719296,0.543859649122807,0.0675,0.06625,0.29875,3.923076923076923,3.5,21.0,10.0,,False,12,1.0,20,0.017493624982307665,0.3923076923076923,1.0,
normal,12,12,heuristic,12,800,0.1,800,305,293,12,300,287,57,19,38,38,0,0,0.3333333333333333,0.6666666666666666,0.375,0.36625,0.35875,4.2105263157894735,0.0,62.0,5.0,,False,12,1.0,12,0.0272311245862511,0.42105263157894735,0.5,
normal,12,12,adaptive,12,800,0.1,800,332,323,9,340,90,57,29,28,28,0,0,0.5087719298245614,0.49122807017543857,0.425,0.40375,0.1125,3.310344827586207,2.0,21.0,5.0,,False,12,1.0,11,5.829615374568675,0.3310344827586207,0.5,
