scenario,variant,detection_rate_mean,detection_rate_std,detection_rate_count,missed_detection_rate_mean,missed_detection_rate_std,missed_detection_rate_count,mean_detection_delay_slots_mean,mean_detection_delay_slots_std,mean_detection_delay_slots_count,time_to_first_detection_slots_mean,time_to_first_detection_slots_std,time_to_first_detection_slots_count,emerging_discovery_delay_slots_mean,emerging_discovery_delay_slots_std,emerging_discovery_delay_slots_count,on_target_scan_rate_mean,on_target_scan_rate_std,on_target_scan_rate_count,scan_efficiency_mean,scan_efficiency_std,scan_efficiency_count,redundant_scan_rate_mean,redundant_scan_rate_std,redundant_scan_rate_count,channel_coverage_mean,channel_coverage_std,channel_coverage_count,coverage_time_slots_mean,coverage_time_slots_std,coverage_time_slots_count
changing_distribution,F_full_policy_no_online_feedback,0.5334163857358989,0.059107837123368936,15,0.46658361426410105,0.05910783712336894,15,11.72518515627843,1.3976694864404537,15,0.3333333333333333,0.4879500364742666,15,,,0,0.6866666666666668,0.013200604243024357,15,0.6665833333333333,0.014106314020256834,15,0.009833333333333333,0.006778818551368738,15,1.0,0.0,15,11.0,0.0,15
dynamic,A_prediction_only,0.3822561289610949,0.03712945948636068,15,0.6177438710389052,0.03712945948636067,15,7.623764024906293,1.5576270152419396,15,1.3333333333333333,0.816496580927726,15,24.6,21.992855982925782,15,0.6339166666666666,0.028939078045010978,15,0.6129166666666667,0.02844820899877695,15,0.026833333333333334,0.01688899331630205,15,1.0,0.0,15,11.0,0.0,15
dynamic,B_prediction_exploration,0.3746350283540724,0.026819949298650548,15,0.6253649716459275,0.026819949298650538,15,7.480428151374179,1.4947021331989034,15,1.3333333333333333,0.816496580927726,15,24.466666666666665,22.022283087385656,15,0.6355000000000001,0.03153725121639035,15,0.6159166666666667,0.0325770606555039,15,0.025083333333333332,0.01539267760363751,15,1.0,0.0,15,11.0,0.0,15
dynamic,C_prediction_exploration_freshness,0.39687015870962244,0.03573513597902933,15,0.6031298412903775,0.035735135979029345,15,7.024039831558985,0.9028017642415694,15,1.3333333333333333,0.816496580927726,15,24.0,22.219682394541234,15,0.6535,0.022767261896980823,15,0.6331666666666667,0.023255503700865134,15,0.014000000000000002,0.013431373187961301,15,1.0,0.0,15,11.0,0.0,15
dynamic,D_prediction_exploration_freshness_trend,0.3946237127335551,0.04053787285735647,15,0.6053762872664449,0.0405378728573565,15,7.12407100058495,1.0185041481672426,15,1.3333333333333333,0.816496580927726,15,24.0,22.219682394541234,15,0.6517499999999999,0.024584947485344413,15,0.6309166666666666,0.02561505323790979,15,0.015833333333333335,0.014765024631911467,15,1.0,0.0,15,11.0,0.0,15
dynamic,E_full_policy,0.3949009573787249,0.033597416628991156,15,0.6050990426212751,0.03359741662899114,15,7.406402943552971,1.2093449031381835,15,1.3333333333333333,0.816496580927726,15,24.0,22.219682394541234,15,0.6519166666666667,0.02281459954461074,15,0.63025,0.022752550877397706,15,0.013416666666666667,0.011431733193594217,15,1.0,0.0,15,11.0,0.0,15
dynamic,F_full_policy_no_online_feedback,0.4055754582707474,0.030061800028440763,15,0.5944245417292525,0.030061800028440774,15,7.0709095347175,1.1765981759528428,15,1.3333333333333333,0.816496580927726,15,24.0,22.219682394541234,15,0.65425,0.023894298483110973,15,0.6344166666666666,0.0238712444066875,15,0.015166666666666667,0.011600364321044077,15,1.0,0.0,15,11.0,0.0,15
emerging_signal,A_prediction_only,0.5768193220750754,0.07591451541990624,15,0.42318067792492464,0.07591451541990622,15,6.1893102717044,1.274375162728293,15,4.266666666666667,4.479583313955291,15,32.733333333333334,13.651094496500306,15,0.5393333333333333,0.052467818935129425,15,0.5205833333333333,0.05050827961358227,15,0.09000000000000001,0.038559439274227746,15,1.0,0.0,15,11.0,0.0,15
emerging_signal,B_prediction_exploration,0.5406738710657079,0.06288390663698393,15,0.45932612893429225,0.06288390663698384,15,5.616441017829932,1.454924330868638,15,4.266666666666667,4.479583313955291,15,22.2,16.827698255300056,15,0.5525833333333333,0.04208692818215083,15,0.5333333333333333,0.04000465002733464,15,0.06725,0.021050534435020887,15,1.0,0.0,15,11.0,0.0,15
emerging_signal,C_prediction_exploration_freshness,0.576575113193376,0.05933503082451405,15,0.4234248868066241,0.05933503082451405,15,5.430292547146907,1.0356708201268283,15,4.866666666666666,6.26631204670392,15,24.133333333333333,12.872266237739106,15,0.571,0.03692173188942096,15,0.5509166666666666,0.033678716608281735,15,0.04883333333333333,0.01639677305650922,15,1.0,0.0,15,11.0,0.0,15
emerging_signal,D_prediction_exploration_freshness_trend,0.5810629202207315,0.058762848468424674,15,0.4189370797792685,0.0587628484684247,15,6.0219112404695725,1.6079901700091423,15,4.866666666666666,6.26631204670392,15,23.6,11.121407927313623,15,0.5671666666666667,0.04024330763647307,15,0.5483333333333333,0.03845413161280901,15,0.04933333333333333,0.018119559938943118,15,1.0,0.0,15,11.0,0.0,15
emerging_signal,E_full_policy,0.5976226703462778,0.04918941724442046,15,0.40237732965372225,0.04918941724442048,15,5.990761541901892,1.0859667011109957,15,4.133333333333334,4.155317877932646,15,21.733333333333334,13.18260036491103,15,0.5763333333333333,0.03863885750800361,15,0.55675,0.0361970055983325,15,0.043166666666666666,0.015845703188051,15,1.0,0.0,15,11.0,0.0,15
emerging_signal,F_full_policy_no_online_feedback,0.5907594074814703,0.06247601228240366,15,0.40924059251852973,0.062476012282403647,15,5.898562740905659,1.1458209304841256,15,4.133333333333334,4.155317877932646,15,21.0,7.131419413913535,15,0.5699166666666666,0.03798045393294268,15,0.551,0.03527380148819474,15,0.050749999999999997,0.018007934759036483,15,1.0,0.0,15,11.0,0.0,15
high_activity,A_prediction_only,0.40324970895948214,0.030785829122949433,15,0.5967502910405179,0.030785829122949464,15,11.42895213120827,1.0893219591461587,15,0.3333333333333333,0.4879500364742666,15,,,0,0.7660833333333332,0.006745809987018098,15,0.7446666666666667,0.0074322335295720675,15,0.00125,0.0013363062095621218,15,1.0,0.0,15,11.0,0.0,15
high_activity,B_prediction_exploration,0.4050909454680161,0.02864904530928221,15,0.5949090545319838,0.02864904530928219,15,11.134721652894063,0.9645743728451264,15,0.3333333333333333,0.4879500364742666,15,,,0,0.7589166666666666,0.006121293825265881,15,0.7379166666666667,0.008565225930359006,15,0.0005,0.0009209854970162591,15,1.0,0.0,15,11.0,0.0,15
high_activity,C_prediction_exploration_freshness,0.3963866473520353,0.020243903351005652,15,0.6036133526479648,0.020243903351005673,15,11.612436863455958,1.1830890083663876,15,0.3333333333333333,0.4879500364742666,15,,,0,0.7348333333333333,0.004697707140824376,15,0.7155,0.006474538041987481,15,0.00125,0.0018898223650461363,15,1.0,0.0,15,11.0,0.0,15
