scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s,predictor
normal,4,4,adaptive,12,800,0.1,800,358,347,11,356,83,62,36,26,26,0,0,0.5806451612903226,0.41935483870967744,0.445,0.43375,0.10375,3.9166666666666665,2.5,14,5,,False,12,1.0,11,3.843821250120527,0.39166666666666666,0.5,,hist_gradient_boosting
normal,5,5,adaptive,12,800,0.1,800,322,314,8,320,90,57,29,28,28,0,0,0.5087719298245614,0.49122807017543857,0.4,0.3925,0.1125,3.0344827586206895,2.0,14,5,,False,12,1.0,11,3.7293209998097154,0.30344827586206896,0.5,,hist_gradient_boosting
normal,6,6,adaptive,12,800,0.1,800,366,358,8,365,70,69,30,39,39,0,1,0.43478260869565216,0.5652173913043478,0.45625,0.4475,0.0875,3.7,4.0,10,2,,False,12,1.0,11,3.788897375270608,0.37000000000000005,0.2,,hist_gradient_boosting
normal,7,7,adaptive,12,800,0.1,800,346,333,13,354,69,58,26,32,32,0,0,0.4482758620689655,0.5517241379310345,0.4425,0.41625,0.08625,2.6923076923076925,2.0,10,2,,False,12,1.0,11,3.7648630003241124,0.2692307692307693,0.2,,hist_gradient_boosting
normal,8,8,adaptive,12,800,0.1,800,376,367,9,376,70,65,32,33,33,0,0,0.49230769230769234,0.5076923076923077,0.47,0.45875,0.0875,2.65625,2.5,8,2,,False,12,1.0,11,3.6867078744035098,0.265625,0.2,,hist_gradient_boosting
normal,9,9,adaptive,12,800,0.1,800,351,334,17,347,68,62,33,29,28,1,0,0.532258064516129,0.46774193548387094,0.43375,0.4175,0.085,3.757575757575758,2.0,31,12,,False,12,1.0,11,3.911603499436751,0.3757575757575758,1.2000000000000002,,hist_gradient_boosting
emerging_signal,0,0,adaptive,12,800,0.1,800,478,471,7,485,28,48,30,18,18,0,1,0.625,0.375,0.60625,0.58875,0.035,6.433333333333334,3.0,30,1,4.0,False,12,1.0,11,4.012315624822804,0.6433333333333334,0.1,0.4,hist_gradient_boosting
emerging_signal,1,1,adaptive,12,800,0.1,800,515,510,5,532,5,38,23,15,15,0,0,0.6052631578947368,0.39473684210526316,0.665,0.6375,0.00625,6.3478260869565215,5.0,18,8,15.0,False,12,1.0,11,3.8695616242694086,0.6347826086956522,0.8,1.5,hist_gradient_boosting
emerging_signal,2,2,adaptive,12,800,0.1,800,456,450,6,468,28,56,33,23,23,0,0,0.5892857142857143,0.4107142857142857,0.585,0.5625,0.035,5.666666666666667,3.0,28,1,15.0,False,12,1.0,11,3.8309006253257394,0.5666666666666668,0.1,1.5,hist_gradient_boosting
emerging_signal,3,3,adaptive,12,800,0.1,800,412,400,12,414,39,53,36,17,17,0,0,0.6792452830188679,0.32075471698113206,0.5175,0.5,0.04875,6.888888888888889,5.0,35,8,6.0,False,12,1.0,11,3.8151972498963005,0.688888888888889,0.8,0.6000000000000001,hist_gradient_boosting
