metric,strategy_a,strategy_b,n,mean_a,mean_b,mean_diff,cohen_d,t_statistic,t_pvalue,wilcoxon_statistic,wilcoxon_pvalue,significant_0_05,note,scenario
scan_efficiency,heuristic,adaptive,30,0.09516666666666665,0.11216666666666668,0.017,0.7354334369449508,4.028134829583027,0.0003706181835035045,74.0,0.0011124473961586145,True,,bursty
on_target_scan_rate,heuristic,adaptive,30,0.09766666666666667,0.11620833333333333,0.018541666666666668,0.7749796839931603,4.244738545312792,0.00020508794917073171,70.0,0.0008291209612085804,True,,bursty
redundant_scan_rate,heuristic,adaptive,30,0.5332500000000001,0.04804166666666666,-0.4852083333333333,-9.504874853078197,-52.0603436329453,3.3744534974428694e-30,0.0,1.7333066441991056e-06,True,,bursty
detection_rate,sequential,adaptive,30,0.7189428567280207,0.5377772809423457,-0.1811655757856751,-4.152369544130002,-22.74346466417445,4.9032129199748117e-20,0.0,1.7333066441991056e-06,True,,changing_distribution
mean_detection_delay_slots,sequential,adaptive,30,5.061102428024841,11.819029923910916,6.757927495886076,4.484253115594587,24.561265849739765,5.866076538793927e-21,0.0,1.862645149230957e-09,True,,changing_distribution
scan_efficiency,sequential,adaptive,30,0.20387499999999997,0.6671666666666667,0.46329166666666666,41.994127570202316,230.01130952949416,7.545755726854903e-49,0.0,1.7256857880058036e-06,True,,changing_distribution
on_target_scan_rate,sequential,adaptive,30,0.21074999999999997,0.6876666666666668,0.4769166666666667,42.92148247691612,235.0906415416967,4.006333406965162e-49,0.0,1.7256857880058036e-06,True,,changing_distribution
redundant_scan_rate,sequential,adaptive,30,0.0,0.007875000000000002,0.007875000000000002,0.9518891998999096,5.2137118703072485,1.4004702668122803e-05,0.0,2.4529123735647505e-06,True,,changing_distribution
detection_rate,random,adaptive,30,0.645689902221324,0.5377772809423457,-0.10791262127897824,-1.722203557699306,-9.432897371675597,2.4398880097544124e-10,2.0,2.1240054136324972e-06,True,,changing_distribution
mean_detection_delay_slots,random,adaptive,30,7.455945953861052,11.819029923910916,4.363083970049865,2.3171058855290885,12.69131161632265,2.2961622496284203e-13,0.0,1.862645149230957e-09,True,,changing_distribution
scan_efficiency,random,adaptive,30,0.205,0.6671666666666667,0.4621666666666666,27.396424584953458,150.05639740168115,1.7887275142262374e-43,0.0,1.7289484360195754e-06,True,,changing_distribution
on_target_scan_rate,random,adaptive,30,0.21049999999999994,0.6876666666666668,0.47716666666666663,28.39873306258495,155.54626702945546,6.317431237015646e-44,0.0,1.732216233144114e-06,True,,changing_distribution
redundant_scan_rate,random,adaptive,30,0.25762499999999994,0.007875000000000002,-0.24975,-14.496594139649625,-79.40111617283296,1.7734919451016297e-35,0.0,1.7202594665136766e-06,True,,changing_distribution
detection_rate,heuristic,adaptive,30,0.3391107842484075,0.5377772809423457,0.1986664966939383,3.531499901740139,19.342821580103514,4.052428016833365e-18,0.0,1.862645149230957e-09,True,,changing_distribution
mean_detection_delay_slots,heuristic,adaptive,30,9.731902874002268,11.819029923910916,2.0871270499086476,0.5354519464257697,2.9327910951744176,0.006498549142263097,107.0,0.008705463260412216,True,,changing_distribution
scan_efficiency,heuristic,adaptive,30,0.473875,0.6671666666666667,0.19329166666666667,2.4756229341276708,13.559545248988513,4.405412128110577e-14,0.0,1.7333066441991056e-06,True,,changing_distribution
on_target_scan_rate,heuristic,adaptive,30,0.4874583333333333,0.6876666666666668,0.20020833333333332,2.529578694155185,13.855073117732566,2.556182253012954e-14,0.0,1.7300371292901245e-06,True,,changing_distribution
redundant_scan_rate,heuristic,adaptive,30,0.3159583333333334,0.007875000000000002,-0.3080833333333333,-4.2885641895930755,-23.48943345948989,2.0150105033244193e-20,0.0,1.7333066441991056e-06,True,,changing_distribution
