scenario,strategy,detection_rate_mean,detection_rate_std,detection_rate_count,missed_detection_rate_mean,missed_detection_rate_std,missed_detection_rate_count,mean_detection_delay_slots_mean,mean_detection_delay_slots_std,mean_detection_delay_slots_count,time_to_first_detection_slots_mean,time_to_first_detection_slots_std,time_to_first_detection_slots_count,emerging_discovery_delay_slots_mean,emerging_discovery_delay_slots_std,emerging_discovery_delay_slots_count,on_target_scan_rate_mean,on_target_scan_rate_std,on_target_scan_rate_count,scan_efficiency_mean,scan_efficiency_std,scan_efficiency_count,redundant_scan_rate_mean,redundant_scan_rate_std,redundant_scan_rate_count,channel_coverage_mean,channel_coverage_std,channel_coverage_count,coverage_time_slots_mean,coverage_time_slots_std,coverage_time_slots_count
dynamic,random,0.4886562299935805,0.04777934013481431,30,0.5113437700064195,0.0477793401348143,30,5.789794733260387,0.8348381439322129,30,5.333333333333333,6.221948543516004,30,13.6,11.778413920505537,30,0.176875,0.015462517248338716,30,0.171875,0.014752812414517142,30,0.264875,0.014347706472969237,30,1.0,0.0,30,32.86666666666667,9.793500072913714,30
dynamic,sequential,0.5720438885552006,0.04991602345003899,30,0.42795611144479934,0.049916023450038975,30,4.358839490634413,0.4419449270589349,30,1.4,0.8136762043449723,30,10.8,7.289103818903846,30,0.17854166666666668,0.013752285598961442,30,0.173375,0.01418075280089178,30,0.0,0.0,30,1.0,0.0,30,11.0,0.0,30
emerging_signal,adaptive,0.5966607664610521,0.05424617112209853,30,0.4033392335389479,0.05424617112209854,30,5.865583228136162,1.0529906247576455,30,4.2,3.8273066067495782,30,17.233333333333334,11.440048629428029,30,0.5752083333333334,0.033865675541542885,30,0.5579999999999999,0.03233145953807328,30,0.043916666666666666,0.012627510561805355,30,1.0,0.0,30,11.0,0.0,30
emerging_signal,heuristic,0.4431361217348391,0.06963891813073754,30,0.556863878265161,0.06963891813073755,30,3.2316353533915896,1.5801309918338406,30,4.8,4.795112454184559,30,173.60714285714286,122.76908142727693,28,0.512375,0.08731775972729203,30,0.49733333333333335,0.0847948420004723,30,0.2734166666666667,0.08273733712190036,30,1.0,0.0,30,11.866666666666667,0.9732042112432568,30
emerging_signal,random,0.6290356346328677,0.054611689330144576,30,0.3709643653671323,0.0546116893301446,30,6.528234181654647,1.3232565093222877,30,12.766666666666667,17.939906072358838,30,14.833333333333334,14.44629372188073,30,0.11637499999999999,0.012380245318164382,30,0.11312499999999999,0.011875567137092279,30,0.28929166666666667,0.013158038603266716,30,1.0,0.0,30,32.86666666666667,9.793500072913714,30
emerging_signal,sequential,0.758616311941237,0.056183782863069416,30,0.24138368805876304,0.05618378286306942,30,4.95929866644351,0.6260688211364566,30,4.2,3.8273066067495782,30,8.6,6.41979696746309,30,0.11474999999999999,0.006786459642756201,30,0.11149999999999999,0.0066094889989761095,30,0.0,0.0,30,1.0,0.0,30,11.0,0.0,30
high_activity,adaptive,0.4057594361566549,0.03382845590496335,30,0.5942405638433451,0.033828455904963355,30,11.31847346845266,0.9513227631640075,30,0.26666666666666666,0.44977644510880366,30,,,0,0.7347083333333334,0.005767433591285215,30,0.7134166666666667,0.007390969948633875,30,0.0011666666666666668,0.001428366159308415,30,1.0,0.0,30,11.0,0.0,30
high_activity,heuristic,0.20348410904806535,0.02886188108733128,30,0.7965158909519345,0.02886188108733127,30,10.91412512809765,2.6953193598903527,30,0.3333333333333333,0.546672273590534,30,,,0,0.8234583333333333,0.03326630293434395,30,0.799125,0.03319247357043667,30,0.037083333333333336,0.015637782128072302,30,1.0,0.0,30,11.866666666666667,0.9732042112432568,30
high_activity,random,0.5560898294992735,0.031051705456588762,30,0.44391017050072645,0.031051705456588755,30,6.235116925047462,0.6033724779682873,30,1.0333333333333334,1.6501480254047292,30,,,0,0.38858333333333334,0.013790040967490196,30,0.3770833333333333,0.014070838843051476,30,0.18733333333333332,0.014194361030263794,30,1.0,0.0,30,32.86666666666667,9.793500072913714,30
high_activity,sequential,0.646637926833301,0.02905426409621248,30,0.35336207316669904,0.029054264096212482,30,4.737319768697792,0.3609922840070794,30,0.26666666666666666,0.44977644510880366,30,,,0,0.3858333333333333,0.008089833267679303,30,0.3744166666666667,0.008583598366625752,30,0.0,0.0,30,1.0,0.0,30,11.0,0.0,30
high_noise,adaptive,0.3925260821939155,0.04181076574169574,30,0.6074739178060845,0.04181076574169574,30,5.508605721975287,1.127059302699181,30,13.366666666666667,15.568498993786788,30,,,0,0.23825,0.05852221063776585,30,0.14204166666666668,0.03893031369912967,30,0.023125,0.005341263411177755,30,1.0,0.0,30,11.0,0.0,30
high_noise,heuristic,0.2491494233116764,0.11182629231126102,30,0.7508505766883237,0.11182629231126104,30,3.2839711487513092,4.7748219870597115,29,75.41379310344827,142.26622861015073,29,,,0,0.35516666666666663,0.19109872125257096,30,0.21358333333333332,0.12021968636003733,30,0.21887500000000001,0.09008398260741914,30,1.0,0.0,30,11.866666666666667,0.9732042112432568,30
high_noise,random,0.3093767125198593,0.06401302250040318,30,0.6906232874801408,0.0640130225004032,30,7.675982378732379,2.1462959946182374,30,17.066666666666666,24.15886120479696,30,,,0,0.07341666666666667,0.010980651740387641,30,0.042708333333333334,0.010240025283957647,30,0.24120833333333333,0.014678609133427932,30,1.0,0.0,30,32.86666666666667,9.793500072913714,30
high_noise,sequential,0.39932160880279816,0.04965115317332796,30,0.6006783911972018,0.04965115317332798,30,6.9804847010579145,1.247841648035267,30,13.4,15.882325895852567,30,,,0,0.08504166666666667,0.009932332116092773,30,0.04733333333333333,0.008012203336089931,30,0.0,0.0,30,1.0,0.0,30,11.0,0.0,30
normal,adaptive,0.49238773227316224,0.047075037225191525,30,0.5076122677268378,0.0470750372251915,30,3.185310565109636,0.6179321074874286,30,3.7333333333333334,2.1644993581113314,30,,,0,0.41941666666666666,0.03812232655031951,30,0.406625,0.03663536248602922,30,0.12275,0.014336624187843114,30,1.0,0.0,30,11.0,0.0,30
normal,heuristic,0.3571612569587863,0.06442197044442949,30,0.6428387430412137,0.06442197044442949,30,2.1999829945844795,1.4584049415798288,30,3.8666666666666667,2.344962808812251,30,,,0,0.38295833333333335,0.09539871148133423,30,0.37137499999999996,0.09306928152614645,30,0.37754166666666666,0.08382201184378857,30,1.0,0.0,30,11.866666666666667,0.9732042112432568,30
normal,random,0.43547984977523846,0.043915237891155944,30,0.5645201502247617,0.043915237891155944,30,5.393856665640172,1.247887576534075,30,5.733333333333333,5.368704546326527,30,,,0,0.06875,0.009609845884874247,30,0.06679166666666667,0.009329246590910919,30,0.306875,0.0116649988545161,30,1.0,0.0,30,32.86666666666667,9.793500072913714,30
normal,sequential,0.5941937074701847,0.04808162892486486,30,0.4058062925298152,0.04808162892486486,30,4.324605014510095,0.5690053020917427,30,3.9,2.892916437998405,30,,,0,0.079625,0.007865723874441904,30,0.077375,0.007254234791747029,30,0.0,0.0,30,1.0,0.0,30,11.0,0.0,30
